,Lon,Lat,Tmed,Tmax,Tmin
count,1734.0,1734.0,1734.0,1734.0,1734.0
mean,-100.29,21.61,16.77,24.61,8.92
std,5.46,3.7,4.91,4.51,6.13
min,-116.9,14.63,2.95,6.6,-10.6
25%,-103.35,19.1,13.0,21.4,4.3
50%,-99.7,20.51,16.07,24.2,8.0
75%,-97.73,24.0,20.8,27.6,13.9
max,-86.77,32.7,29.8,39.87,23.3
