,Lon,Lat,Tmed,Tmax,Tmin
count,635.0,635.0,635.0,635.0,635.0
mean,0.43,-0.17,0.39,0.23,0.55
std,-0.06,-0.1,-0.05,-0.1,-0.04
min,0.0,-0.07,-0.25,0.0,0.0
25%,0.35,-0.05,0.45,0.4,0.45
50%,0.3,-0.09,0.27,0.2,0.5
75%,0.21,-0.23,0.2,0.1,1.15
max,0.0,0.0,1.3,3.57,0.0
